id X1 X2 X3 X4 X5 X6 X7 X8
DDDDDDDD 1 2 2 2 2 2 2 2 2 
DDDDDDDD 2 2 2 2 2 2 1 1 2 
DDDDDDDD 3 2 1 2 2 2 2 2 2 
DDDDDDDD 4 2 2 1 2 2 2 1 2 
DDDDDDDD 5 5 2 9 3 1 2 2 4 
DDDDDDDD 6 4 2 9 4 2 1 5 4 
DDDDDDDD 7 4 2 9 4 4 1 5 4 
DDDDDDDD 8 2 1 2 2 2 1 0 2 
DDDDDDDD 9 2 2 2 2 2 2 2 1 
DDDDDDDD 10 2 2 2 2 2 4 4 2 
DDDDDDDD 11 3 2 9 2 2 1 5 4 
DDDDDDDD 12 4 2 9 4 2 1 2 4 
DDDDDDDD 13 1 1 4 2 0 1 1 2 
DDDDDDDD 14 1 2 9 4 2 1 3 4 
DDDDDDDD 15 2 1 2 2 2 2 2 1 
DDDDDDDD 16 2 1 9 3 2 0 4 2 
DDDDDDDD 17 2 1 9 4 0 0 3 4 
DDDDDDDD 18 2 2 2 2 1 2 2 2 
DDDDDDDD 19 2 2 9 2 0 1 3 3 
DDDDDDDD 20 3 2 9 4 2 1 3 4 
DDDDDDDD 21 3 2 9 4 2 1 5 4 
DDDDDDDD 22 4 1 9 4 2 1 5 4 
DDDDDDDD 23 4 2 7 2 2 1 5 2 
DDDDDDDD 24 4 2 8 2 2 1 4 4 
DDDDDDDD 25 4 2 9 4 1 3 4 4 
DDDDDDDD 26 4 2 9 4 2 1 4 4 
DDDDDDDD 27 4 2 9 4 2 2 3 4 
DDDDDDDD 28 4 3 9 4 2 1 5 4 
DDDDDDDD 29 2 2 2 3 2 2 2 3 
DDDDDDDD 30 2 2 9 3 1 2 4 4 
DDDDDDDD 31 5 1 9 4 2 1 3 4 
DDDDDDDD 32 5 3 9 3 4 1 5 4 
DDDDDDDD 33 5 3 9 5 2 2 8 5 
DDDDDDDD 34 3 2 9 4 2 2 4 4 
DDDDDDDD 35 4 2 6 4 1 2 2 4 
DDDDDDDD 36 4 2 9 3 2 2 5 4 
DDDDDDDD 37 4 2 9 4 2 1 4 3 
DDDDDDDD 38 4 2 9 4 2 1 5 3 
DDDDDDDD 39 4 2 9 4 3 1 5 3 
DDDDDDDD 40 5 2 9 3 2 2 4 3 
DDDDDDDD 41 6 2 9 4 2 2 4 4 
DDDDDDDD 42 4 0 9 2 2 0 4 3 
DDDDDDDD 43 4 2 9 4 2 1 3 4 
DDDDDDDD 44 4 2 9 4 2 2 3 3 
DDDDDDDD 45 1 2 1 2 2 1 2 2 
DDDDDDDD 46 4 2 9 2 2 1 5 4 
DDDDDDDD 47 2 1 2 2 2 1 2 2 
DDDDDDDD 48 4 2 9 4 1 2 4 4 
DDDDDDDD 49 1 2 2 2 2 2 2 2 
DDDDDDDD 50 2 0 9 2 0 1 2 2 
DDDDDDDD 51 2 2 2 1 2 2 1 2 
DDDDDDDD 52 2 2 2 2 4 2 2 2 
DDDDDDDD 53 2 4 2 2 4 2 2 2 
DDDDDDDD 54 4 2 9 3 2 1 3 4 
DDDDDDDD 55 4 2 9 4 2 0 4 4 
DDDDDDDD 56 4 2 9 4 1 1 5 4 
DDDDDDDD 57 4 2 9 4 2 1 3 3 
DDDDDDDD 58 5 2 9 4 1 2 4 4 
