id X Y
DD 1 .3576776 .4834223
DD 2 .3414999 .4431000
DD 3 .1006735 .3989672
DD 4 .6171487 .6959580
DD 5 .9165365 .3574591
DD 6 .6564813 .8530747
DD 7 .1945148 .6934811
DD 8 .6678077 .7948465
DD 9 .3290578 .3643168
DD 10 .8844937 .7657141
DD 11 .1617277 .3115094
DD 12 .1829465 .5576619
DD 13 .2764700 .5123499
DD 14 .5636972 .3227286
DD 15 .8120393 .2282289
DD 16 .0703047 .5159160
DD 17 .8911866 .2000277
DD 18 .8869589 .6324344
DD 19 .3355623 .5962183
DD 20 .4932506 .9112372
DD 21 .7608452 .9378760
DD 22 .3050034 .6747940
DD 23 .8385130 .9946624
DD 24 .8222452 .0450772
DD 25 .5665978 .1927828
DD 26 .7557252 .9373113
DD 27 .5968599 .2632605
DD 28 .9157779 .9431941
DD 29 .4927357 .9873587
DD 30 .0131962 .3685716
DD 31 .4013144 .7039223
DD 32 .3200067 .6189723
DD 33 .8611420 .9065736
DD 34 .9350532 .5995024
DD 35 .8709842 .3903615
DD 36 .9489942 .0204145
DD 37 .1354680 .0584222
DD 38 .0471076 .6207062
DD 39 .4919148 .1577319
DD 40 .1550830 .4214288
DD 41 .5063376 .3049027
DD 42 .9391783 .2175045
DD 43 .3906499 .5514816
DD 44 .8216138 .5688107
DD 45 .7102900 .7241245
DD 46 .3563014 .4526071
DD 47 .4818505 .5966286
DD 48 .2078459 .3221031
DD 49 .5515761 .7838909
DD 50 .6546288 .3496065
DD 51 .6329155 .7056984
DD 52 .7485915 .8242983
DD 53 .7873316 .1016358
DD 54 .4514834 .6687768
DD 55 .8674549 .3755893
DD 56 .8587385 .4171264
DD 57 .6030557 .9351217
DD 58 .8341952 .2799374
DD 59 .3833733 .5306678
DD 60 .0154853 .5654580
DD 61 .8467298 .6928418
DD 62 .4024980 .1254233
DD 63 .2902249 .4514226
DD 64 .9887746 .9811267
DD 65 .5063181 .7725962
DD 66 .7044241 .1294861
DD 67 .4744114 .1850415
DD 68 .0630622 .9372625
DD 69 .6067964 .9312454
DD 70 .2857886 .6487296















