id X Y Z
DDD 1 .5504505 .6924133 0.358834
DDD 2 .6230487 .5155817 0.683512
DDD 3 .3072628 .4749904 0.555933
DDD 4 .6617440 .7689273 0.411827
DDD 5 .0613565 .2170890 0.866636
DDD 6 .4968638 .4180174 0.613976
DDD 7 .7391045 .8170094 0.946788
DDD 8 .7380064 .5952212 0.341233
DDD 9 .2862224 .4498934 0.460824
DDD 10 .3011868 .5182478 0.365813
DDD 11 .4037435 .8133246 0.731586
DDD 12 .7188344 .0310972 0.567536
DDD 13 .6874138 .0009657 0.028452
DDD 14 .8047490 .8796405 0.091193
DDD 15 .6327024 .0646932 0.346628
DDD 16 .4646244 .4969572 0.457631
DDD 17 .4610537 .0601445 0.305418
DDD 18 .8305755 .9226374 0.961941
DDD 19 .3655947 .7454214 0.770205
DDD 20 .1480045 .8779122 0.736052
DDD 21 .0389336 .4186910 0.824015
DDD 22 .1464959 .3592523 0.777686
DDD 23 .3920889 .3758602 0.630031
DDD 24 .3621669 .7289956 0.908151
DDD 25 .0496251 .3201640 0.568481
DDD 26 .6134108 .4421626 0.338458
DDD 27 .0469097 .3746753 0.472809
DDD 28 .3191689 .4609259 0.212869
DDD 29 .3836925 .1871986 0.563606
DDD 30 .5301558 .2167507 0.707235
DDD 31 .6141013 .4630344 0.235457
DDD 32 .5477511 .7670377 0.767198
DDD 33 .0743066 .0404736 0.493492
DDD 34 .1489630 .5777286 0.496126
DDD 35 .9506862 .6998859 0.918352
DDD 36 .2228711 .1027832 0.629973
DDD 37 .1459729 .0706818 0.945786
DDD 38 .7456745 .9202652 0.970809
DDD 39 .4687568 .5095367 0.523241
DDD 40 .3568155 .4549870 0.848150
DDD 41 .4004878 .3438519 0.610449
DDD 42 .4140200 .0388122 0.924612
DDD 43 .6189432 .5197645 0.525229
DDD 44 .5544012 .9388174 0.413991
DDD 45 .3006475 .0148973 0.287509
DDD 46 .9134262 .6651104 0.247188
DDD 47 .3971100 .3607347 0.228288
DDD 48 .8824383 .9362196 0.568718
DDD 49 .6786364 .6938038 0.460865
DDD 50 .4349813 .6501348 0.831300
DDD 51 .1500362 .7820209 0.854166
DDD 52 .6262832 .5403376 0.430285
DDD 53 .9374309 .7533938 0.415867
DDD 54 .0603362 .2830228 0.081887
DDD 55 .0847441 .5270602 0.033874
DDD 56 .3039617 .9962316 0.378538
DDD 57 .7299602 .3871411 0.186893
DDD 58 .9734775 .6033065 0.097305
DDD 59 .3900442 .3614055 0.453007
DDD 60 .2810061 .6289805 0.794281
DDD 61 .7921707 .1200379 0.783452
DDD 62 .1454660 .8010559 0.736954
DDD 63 .7577729 .4831691 0.294699
DDD 64 .6767984 .4260391 0.239742
DDD 65 .6725480 .2450485 0.456184
DDD 66 .2473898 .9128163 0.219474
DDD 67 .3451045 .2510809 0.080881
DDD 68 .9758743 .9915016 0.928008
DDD 69 .5420564 .3022150 0.267703
DDD 70 .9569361 .0095088 0.299143
DDD 71 .8482263 .7476191 0.532635
DDD 72 .8552948 .0157042 0.328419
DDD 73 .0848632 .2370123 0.901265
DDD 74 .6091452 .9357420 0.923297
DDD 75 .3615692 .1516991 0.267864
DDD 76 .2118517 .7043803 0.618345
DDD 77 .6616178 .2690789 0.601404
DDD 78 .3020623 .3982625 0.015659
DDD 79 .0756969 .2274399 0.757415
DDD 80 .2205255 .7873635 0.002619
DDD 81 .5034670 .7719848 0.173878
DDD 82 .1031624 .8145574 0.159454
DDD 83 .6208589 .4425583 0.395440
DDD 84 .4782758 .7776151 0.410204
DDD 85 .6363900 .6092246 0.299443
DDD 86 .9125791 .8208994 0.276709
DDD 87 .9921203 .3119706 0.176699
DDD 88 .8848946 .0771335 0.575730
DDD 89 .5518441 .3911596 0.438691
DDD 90 .8243221 .7024081 0.606657
